|tweet|clase
24|. @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us|0
25|Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais|0
26|".@sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL”¿Sólo ha leído dos libros?"" Era una metáfora."|0
27|@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.|0
28|Amonestado el público argentino en La Cartuja!!!|0
29|A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.|0
30|En el blog: Lágrimas tecnócratas http://t.co/Y7K9awBr|0
31|"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN"|0
32|Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos http://t.co/BP1Bfcl6|0
33|Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley|0
34|"Sobre ""accidentes""... RT @santigonzalez10 Él había llegado antes http://t.co/yQjNqebS"|0
35|"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - http://t.co/tyMt3Omq"|0
36|UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.|0
37|El @ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación http://t.co/tAgF97e6  @europapress_es|0
38|"Sí, raritos q somos...  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."" http://t.co/69OM6a3R"|0
39|RT @PerezHilton @paurubio Que triste es esto, Pau! http://t.co/ZKF4LZOH @JonahMowryReal &lt;3! http://t.co/HBdZNwj5|0
40|Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. http://t.co/kkOrMmiw V @plazaro67|0
41|Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España|0
42|Sorgiñas, culebras. Cabrones negros de barba larga.|0
43|"Triste RT @JosepLLuisCerro: RT @skalistrao: ""Papá, ¿nosotros qué somos: catalanes o fachas?"" :: Barcelona :: Cataluña: http://t.co/7WAkfXUO"|0
44|Extorsión mafiosa; por Carlos García - en  http://t.co/dBb5qOyt vía @larazon_es|0
45|No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos...|0
46|Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza #vivalaconstitucion|0
47|Otro enchufado más antes de que se vaya ZP http://t.co/Jb983lka|0
48|Rajoy rompe su silencio en la fiesta del Congreso plagada de ausentes http://t.co/C52Ex8M0”|0
49|En alguna CA como Cataluña ni siquiera hay acto institucional en un día como hoy.No interesa recordar #LaConstitucionquenosUne|0
50|Y ahí va el editorial. RT por favor. CÃ³mo pasar en el 11-M de impostor a testigo de cargo  http://t.co/gzxljuIl|0
51|RT @nurvaca: Sr. Mas, no garantizar una sanidad publica de calidad universal es anticonstitucional ,por eso no celebra dia  constitucion?|0
52|Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo|0
53|De dónde saldrá el dinero para el banco malo de Rajoy, según el WSJ.  http://t.co/hn1cffmm|0
54|"La novia de Cristiano Ronaldo, Irina de nombre, prefiere ""jugar"" sin camiseta, se vé que no aprecia tanto los colores. http://t.co/7hNdwoDD"|0
55|¿Por qué el felipismo suspende su cena conciabulo? Se lo contamos en el @TelediarioInter 20:30|0
56|Andalucía pretende 'robar' los colegios de los curas y monjas. Se lo contamos en el @TelediarioInter 20:30|0
57|Hoy en el Gato: Juan Rosell. A favor del banco malo? http://t.co/Babt1ab7|0
58|Llaman a IU antisistema por denunciar la reforma que los mercados han hecho a la Constitución. ¿Y ellos que son? ¿Anticonstitucionales?|0
59|Una lástima lo de hoy pero esto no termina acá. En el fútbol siempre hay revancha y tenemos equipo para pelear por grandes cosas|0
60|Mis disculpas a @jcacho por confundirlo con Jesús Cacho.|0
61|España es el país con más sobrecualificación laboral de toda la Unión Europea http://t.co/ebgd7Zoc|0
62|@sanchez_sonia ya nos contarás si explota Europa (como dice Sarkozy)|0
63|Rajoy cumple lo que   le manda la troika : Más recortes sociales,  el banco malo pagado por los ciudadanos y devaluar empleo y  salarios|0
64|La bolsa baja, la prima sube. ¿La razón? Que el BCE sigue negándose a actuar en el mercado de la deuda por el veto alemán.|0
65|El Gobierno en funciones indulta a dos empresarios condenados por defraudar 27 millones http://t.co/kwR10L1Q / vía @iescolar|0
66|RT @PaquiVicente: Cosmeticos de lujo y una suite en Moscu el despilfarro final de Sinde http://t.co/uJofOOuh Ah bueeeno, es que la Suite ...|0
67|Me parece indignante que la Ministra Sinde gaste 1180 e por noche en un hotel de Moscú . Con  1 noche come 1 familia de 4 personas 3 meses|0
68|Q lo paguen ellos RT @joseantoniodelp: @mariviromero @migar_ @miguehijano @ahora_andal Últimos días de Mentiras y gordas. saludos|0
69|es verdad “@NataliaPastor:  Pero a Miguel Montes no, el preso más antiguo de España que lleva 35 años en la cárcel.Vergonzoso y vomitivo.”|0
70|Los líderes de los 27 siguen discutiendo, sus portavoces vendiéndonos que hay acuerdo en el fondo pero que discuten la forma... #euco|0
71|"Hoy la Ertzaintza ha descubierto un""ZULO""con armamento de ETA oculto en montes de Bizkaia entre municipios de Abadiano y ELORRIO"|0
72|Curiosidad del insomne. Rajoy pide poder de bloqueo sobre fondo de rescate. Si no se lo dan, ¿sería fracaso suyo, de ZP o de los dos?|0
73|Resumen de la larga y agria noche en Bruselas: pacto fiscal sin Reino Unido y otros http://t.co/Kgw6ZHwX by @basteiro #euco|0
74|A la ofensa, oídos sordos. Es jodido cuando te arrancan la mandíbula de un zarpazo #malditosorcos|0
75|RT: “@ojomagico: Un periodista obtiene el documento que explica a qué tiene miedo el Reino Unido. http://t.co/crxjc6dp”|0
76|RT @sanchez_sonia Papelón #ZP entre el chipriota y el irlandés sin traductores y sin poder hablar. En adelante el papelón será de Rajoy|0
77|Merkel, Sarko y Barroso charlando en pie. Cameron sentado solo con cara de enfado #euco|0
78|Increíble  q aún exista gente que defienda el régimen cubano.Este verano en Cuba no oí a nadie hacerlo!Esa izquierda trasnochada española...|0
79|"¿En qué se supone que ha cedido Merkel en esta ""dura negociación""?"|0
80|Ironía, por qué le abandonas.|0
81|Estoy harto del clásico. Qué cansino todo el mundo con el partido. Creo que Pep saldrá con defensa de 3.|0
82|“@PaquiVicente: Hola @rafam_simancas! Me haces un RT para encontrar el perro de @anapalacio? En la foto está la info! http://t.co/jvbv7FED”|0
83|Habrá que ir calentando los motores para esta noche... Y no, no es que vaya a ver el clásico ;)|0
84|El Tribunal de Cuentas ve irregularidades en contratos del semestre europeo presidido por Zapatero http://t.co/kf1urHEz  (vía @LARAZON_es)|0
85|Apaga y vámonos! Qué mala pata|0
86|Puedes encontrar vicio y tentación en cada esquina... http://t.co/0NkGDvSL|0
87|Merkozy se equivoca http://t.co/P39oYDMp via @el_pais|0
88|Nervios http://t.co/UieczUa5|0
89|EEUU y el FMI insatisfechos con resultados de la cumbre euroepa. Mañana, en EM, mi análisis sobre la cumbre centrado en las tareas de Rajoy.|0
90|Mañana por la mañana montones de asalariados del PP volverán a TWITTER . Estos días no han tenido tiempo. Estaban de acueducto.|0
91|D.Villepin candidato alas presidenciales Francesas.TF1.Rencor acumulado entre los dos.NS y DV.|0
92|Buenos días, empieza una semana bastante dura de trabajo con 4 conciertos seguidos, a esta altura de la temporada se convierte en un reto.|0
93|Un día mas en la puerta de Génova. Hoy portavoces y presidentes de Congreso y Senado. Muchas quinielas y pocas certezas.|0
94|Confusión en Junta Directiva PP. Zoido presidirá el XVII Congreso Nacional de febrero pero la comisión organizadora la dirigirá Pedro Sanz|0
95|A las 3 en @A3noticias, Zapatero dice que no aprobó la ley de las descargas en Internet por la presión de las redes sociales|0
96|@mgilguerrero el abogado esta indignado Xq el Rey no le informo antes? Es indigno todo. Lo segundo también.|0
97|Con Alexander Kwaniewski ex presidente Polonia. Con Polonia tenemos mucho que hacer en Europa Hemos perdido algo el tiempo. Ganemoslo|0
98|Hay Pte Portavoz, Portavoz adjunto e incluso portavoz rotatorio, y los he desempeñado. El portavoz 4 o 5 no existe en Cortes.  Diputado sí|0
99|celebracion y dificultades en la zona euro@nytimes http://t.co/Q0d8J7c1|0
100|Eguiguren: el socialismo esta en el desierto sin cantimplora.|0
101|Pregunta: ¿por qué Bermúdez no se querella contra EM? Respuesta: porque en la instrucción de ese sumario se podrían practicar pruebas.|0
102|Da igual que o sea corresponsal político con acreditación permanente. Prensa del Congreso a la suya, deja a los periodistas en la calle|0
103|AMAIUR tendrá grupo solo con diputados del PVasco. El de Navarra (le faltaban unas décimas para 15%), no tomará posesión, de momento|0
104|sólo tiene q tomar prestado un diputado de FORO temporalmente. “@isabelsuarezl: @maria_rey y grupo parlamentario de UPyD????|0
105|Hoy asisten 349 diputados a la Constitución de la cámara baja. Falta solo el diputado de AMAIUR por Navarra|0
106|La actual situación económica hace urgente adoptar medias de control de gasto público y de austeridad en la administración de #Asturias.|0
107|La maniobra de Amaiur,no tomar posesión diputado x Navarra,no les garantiza grupo parlamentario la última palabra la tiene Mesa del Congreso|0
108|Esta noche estoy entre pasar bajo una escalera vestido de amarillo echándole sal a un gato mientras rompo un espejo, o ver TSQV... #Dilema13|0
109|Si en Parlament se puede decir“ls españoles nos roban”,los de Duran tendrán licencia para decir“ls homosexuales son enfermos”? #stopfachas|0
110|Hasta hace nada te robaban reclamando la bolsa o la vida. Ahora desde la bolsa parece que nos roban la vida sin reclamar.  Mañana me entero|0
111|Cataluña dice q no tiene dinero para pagar nóminas. Pero si tiene para financiar cine lésbico. Se lo contamos en el @TelediarioInter 20:30|0
112|"Ya está aquí toda la INFO y entradas para ""YES WE SPAIN IS DIFFERENT"" BARCELONA  http://t.co/RpzL3ZaV ....EN 2012 ...LA VAMOS A LIAR!!!!"|0
113|Bfff no me acordaba de ésta.|0
114|El Consejo de la Unión Europea defiende la #Neutralidad en #Internet, pero no propone medidas concretas http://t.co/5HNGF3Iy #interesante|0
115|Muere un hombre al chocar frontalmente el vehículo q conducía en sentido contrario con un camión,(A-92 altura La Roda de Andalucía,Sevilla)|0
116|Tienes razón, Adriana. Mañana estaré con vosotros en el programa de Federico “@AdrianaRey83: Todo un sinvergüenza...y me quedo corta”|0
117|el juez Grande-Marlaska demanda a los medios profundizar más en la violencia machista|0
118|PSOE-A no acepta ninguna de las 443 enmiendas de la oposición al Presupuesto http://t.co/rrrqXcbS|0
119|Sic transit. El Museo de Cera estudia apartar la figura de Iñaki Urdangarin de la Familia Real http://t.co/vUDWnQ9i vía @elmundoes|0
120|Los minijobs me parecen un horror, no son una solución mágica. El problema de España no está en la reforma de su mercado laboral|0
121|Twitter esta noche va a pedales, desconecto por si viene una cuesta y me toca subirla a mí. Cataclock, (analógico de click).|0
122|Mi madre habla con esta señora desde otro plano inmaterial para comentarle que quiere que me corte el pelo.#ya|0
123|Hay quien nos pide a la izquierda que discutamos nuestras diferencias en casa. No se han enterado que nuestra casa es de puertas abiertas.|0
124|Mañana casi toda España con avisos por viento fuerte. Os dejo el mapa de avisos AEMET del viernes http://t.co/tawEniLK|0
125|Esta info es incorrecta“@formulatv: La crisis golpea El Terrat de @Buenafuente, sin liquidez tras afrontar un ERE: http://t.co/LdU4QHTL”|0
126|Tomas Gómez explica en el Pleno #AsambleaMadrid un juego de niños que se llama... Jenga?  Yo ya no entiendo nada, que cosas tiene este Tomás|0
127|Carta de los corresponsales en España a @marianorajoy para reclamar una mejor atención a los medios de comunicación http://t.co/kd44Ne2q|0
128|Esperando tratamiento...  http://t.co/bzSNqLUj|0
129|Mikel Laboa me arranca el alma y la escupe, como el vomito de un sapo. http://t.co/zSf0j6BJ|0
130|"Rubalcaba espera el discurso de Rajoy para el debate de investidura: ""Ya va siendo hora de que diga lo que va a hacer"""|0
131|La reunión de la Mesa del Congreso convocada para esta tarde se retrasa hasta las 21:00 horas.|0
132|"¿No debería explicar Gallardón por qué pagó 144.000 euros a Urdangarin por ""ayudar a perfilar el lema"" olímpico? http://t.co/Ae9QUl0L"|0
133|"¿Y tú de que trabajas? Yo ayudo a ""perfilar lemas"", como Urdangarin. http://t.co/Ae9QUl0L"|0
134|ya... aun cerrando asuntos de mi padre RT @Milamorr: Se ha notado que faltabas tu hoy en el #fyt06 :( @mariviromero|0
135|+1 RT @jmbescos:que entreguen las armas, que se entreguen ellos y que pidan perdón a las víctimas. Sólo entonces hablaremos|0
136|Espero que PSOE no se ponga de canto con el tema AMAIUR. O a favor o en contra. Pronto empezamos a no ser claros si no.|0
137|"@antoniosanz : @PepeGrinan ""falta el respeto"" e ""insulta"" a la juez del caso ERE al decir que está siendo ""manipulada"" http://t.co/4R5hQzjo"|0
138|"La Mesa no ha tenido en cuenta que no haya prometido la Constitución el diputado navarro de Amaiur. Villalobos, PP, ""el truco no ha servido"""|0
139|"Rajoy habla ya de que tomará medidas ""no gratas"" y dice que seIncumple promesas lo explicaráhttp://t.co/lYI9dhc8"|0
140|@Juandecolmenero No lo he visto. A ellos les parece ambiguo y dicen q no lleva membrete oficial.|0
141|Amaiur no cumple los requisitos y no tendrá grupo parlamentario|0
142|La forma de convertir el cese de la violencia de ETA en irreversible, es el estado de derecho, pero también la política en el Congreso.|0
143|Rusia y también China proponen condena de Siria en la ONU. Al fin !!|0
144|Xq los socialistas retrasaron la reunión de la mesa del Congreso? Necesitaban consultar con jefatura? X eso estaban pegados al teléfono?|0
145|Aún no sabemos los términos del indulto de @libertadmontes a ver si el Gobierno lo cuenta pronto y podemos ver cuándo puede salir Miguel.|0
146|Corría el rumor d q el ministro d Economía iba a ser Luis Garicano, catedrático en la London School. Pero me lo desmiente quien lo sabe|0
147|Por si a alguien no le queda claro, además: Rajoy no se sentará con Amaiur libertaddigital.com/nacional/2011-… vía @libertaddigital|0
148|"El Gobierno indulta ""algunas de las penas"" del preso común más antiguo de España http://t.co/6KiDOsMK"|0
149|La población española se estanca http://t.co/Yoy6GG25|0
150|Que buena noticia. ;) RT @FeerAlvizar: Primer  concierto, en que no pude sacar mi camara porque no (cont) http://t.co/SfQ7Taic|0
151|Grupos radicales de izquierda mandan balas a Monti.  http://t.co/6WpKFqBf  Espero que la izquierda no caiga en la tentación de la violencia.|0
152|"Por lo que veo, la respuesta de la derecha a los recortes sociales q preparan va a ser; ""tú, calla! que eres socialista!"". GRAN argumento..."|0
153|¿El Ayto de Madrid volverá a trasladar estaciones d medición al campo para seguir maquillando los datos d #boinanegra? http://t.co/cReoTWwo|0
154|Es verdad que el sábado por la tarde se rompen muchas parejas pero se pierden mas paraguas si llueve.|0
155|Convulsiones que marcan toda una vida http://t.co/Tw7Yq8U4 via @elmundoes|0
156|abc.es: Un 40% de los niños sufre bronquiolitis http://t.co/McjDYuTs|0
157|Ha muerto Václav Havel, referencia moral para la izquierda europea. Resistió en los malos momentos y no abandonó los ideales en los buenos|0
158|Vaclav Havel nos deja. Un político con la fuerza de la moral y reivindicador de la sociedad civil contra todo abuso http://t.co/cAKHLJvl.|0
159|Después de la prueba de esta mañana, tengo una pequeña rotura de fibras (grado 1). Espero volver cuanto antes. Un saludos a tod@s.|0
160|En política exterior se acabaron los gestos. Lo que digan Merkozy, apagar  la luz en Afganistán, y si te vi no me ...en Sahara y Palestina.|0
161|infórmate bien“@rivero_: Sr. @buenafuente, no está bien criticar EREs con beneficios si luego haces lo mismo http://t.co/GQmC8Uif”|0
162|Las tentaciones son para caer en ellas “@Marprito: me estoy resistiendo en leer el #EPN de @pedroj_ pero creo que en estas caigo fijo!!”|0
163|Mis amigos llegan tarde. Comienza Cirque du Soleil. En la puerta: toma las entradas y yo entro. Y dicen NO. Por esperar pierdo 20 min. #WTF|0
164|sigo sin entender que patxi lopez saliera criticando la decisión sobre amaiur cuando su partido no vota en contra y se abstiene.|0
165|La Mesa del Congreso rechaza el recurso de Amaiur http://t.co/Zmny3wMK|0
166|El CIE no sale del bucle http://t.co/fve16D58|0
167|"Sabino Cuadra, el diputado de Amaiur por Navarra  (que faltaba) promete la Constitución. Un Diputado grita ""por dinero"". #Congreso"|0
168|Tras el numerito del de Amaiur (Sabino y Cuadra se tenía que llamar) sube Rajoy a la tribuna. El que la sigue la consigue.|0
169|Por ahora decepcionado por la poca concreción de las medidas que Rajoy propone para salir de la difícil situación que vivimos.|0
170|#Rajoy La deuda, al 60% en 2020.|0
171|Habla de Educación: España no tiene ninguna Universidad entre las 150 mejores del mundo. Hay que cambiar. #investidura|0
172|#Rajoy Ya lleva una hora de discurso. No veo ahorros por ningún lado, sólo gastos, toda las reformas cuestan dinero ¿Nos lo dirá al final?|0
173|"""La decepción de Durban es una mala noticia para todos"". Esta frase es de trámite...."|0
174|"#Rajoy Ya habla de ""terminar"". ¿No va a decir con qué dinero va a pagar las reformas, de dónde quitará para poner dónde?"|0
175|.@MarianoRajoy Cuando las nubes ocultan el cielo... somos incapaces de ver otra cosa incluso de imaginar q puedan desaparecer. Desaparecerán|0
176|En definitiva, ajuste hasta el RIGOR MORTIS al empleo y la economía, y excusa para recortar lo social adornado con retórica de diálogo.|0
177|Y, contra pronósticos, seguimos sin saber la estructura del Gobierno de Rajoy, + allá de q habrá un M. Agricultura #investidura|0
178|"""A veces, cuando las nubes de la pesadumbre ocultan el cielo, parece q somos incapaces de imaginar q puedan desaparecer.Desaparecerán"" Rajoy"|0
179|Parece que no gusta lo de una competencia una administración. Pues ganaremos en eficiencia. Y hablaremos menos de competencias impropias|0
180|Rubalcaba le pregunta a Rajoy, y con razón, cuándo va a anunciar las malas noticias.|0
181|"Rubalcaba pide ""una subida de impuestos selectiva"", a quienes más tienen y a grandes empresas #investidura"|0
182|Rubalcaba le dice a Rajoy que tiene sospechas de que puede recortar derechos. Rajoy ni le mira. #investidura|0
183|Debería llegar ahora el momento en que Rajoy improvise. Pero va lleno de papeles a la tribuna. Esta aceptando los pactos que ofrecía Rubalc|0
184|"Rajoy: ""intentaré que no haya"" dinero público para el sector financiero, aunque dice que hasta ahora, con el FROB, lo ha habido #investidura"|0
185|Rajoy habla de recaudación... Pero no menciona la lucha contra el fraude.|0
186|Rajoy no quiere aplausos de más. Manda sentar con un gesto a su portavoz, Alfonso Alonso, para acallar al grupo que ... http://t.co/husQdH95|0
187|la cuenta de gastos fiscales propuesta por Rajoy es voluntarista, un poco electoral. ¿habrán hecho los números? Temo que no|0
188|Tanto recortar, Rajoy va a empezar por las consonantes. Se salta una de cada dos. (le he dao, senao)|0
189|Continúa CIU con austeridad, rigor y solidaridad, mediante ley ómnibus( un sarcasmo), sólo algún pellizco con el estatut.|0
190|"Durán (CiU) se declara ""enormemente preocupado"" por la ""recentralización"" que cree ver en las medidas de Rajoy #investidura"|0
191|Hay 4.023 empresas, organismos y entidades publicas, dice Rajoy. Y mucho absentismo, añade.Habla de recortar empleo publico, sin cuantificar|0
192|Se recomienda a Rosa Díez foniatra al canto, con ese tono de voz le van a salir unos pólipos como monaguillos si no se cuida.|0
193|Rajoy y Rosa Diez apuran los ultimos minutos del debate. Se enzarzan a cuenta de la ley electoral|0
194|Se nos ha ido el maestro Héctor Núñez. Una gran pérdida. Un sentido abrazo para la familia y el fútbol uruguayo. DEP|0
195|Yo debería estar durmiendo. Y nada. Y me levanto a las siete. Como era eso de las ovejas?|0
196|Igual estoy dormido y sueño que twiteo. No, imposible: la wifi va y viene #estoesrealsiempre|0
197|Obviedad: depende del cristal con q se mira. Una cosa es la oposición y otra el Gobierno. Rajoy propone cosas ahora a las q se opuso ayer!|0
198|Se necesita sangre de los grupos 0- y AB- en los hospitales madrileños http://t.co/fP4dxdmT|0
199|Rosa10 pone en duda la transparencia de Rajoy por la ausencia de concreciones http://t.co/1Yz0sZsp|0
200|Rajoy lee todo tipo de cosas mientras habla Amaiur. De vez en cuando levanta la cabeza y mira a Antigüedad. Muy poco. Gesto muy claro.|0
201|Rajoy dice que el paso que esperamos todos los españoles es que ETA anuncie su disolución irreversible|0
202|El tono duro y sin concesiones de la réplica de Rajoy a Amaiur anuncia cómo encarará esa relación. Será lógico pero a lo peor no ...|0
203|Buscan a una niña de 13 años desaparecida en Pola de Lena (Asturias) - http://t.co/OMbySqPb|0
204|"""Estamos condenados a entendernos, cada uno con sus identidades y sus obsesiones"", dice antigüedad a Rajoy. #investidura"|0
205|Curioso. Al de Amaiur no le han aplaudido ni los suyos|0
206|"#Amaiur, Antigüedad insiste a Rajoy que están condenados a entenderse: ""vamos _ perseverar..como si hace falta atornillarse a la mesa"""|0
207|Rajoy dice no al relanzamiento económico, no a los impuestos a ricos, no a la reforma electoral y sí  a los recortes y ajustes.|0
208|No puedo evitar emocionarme al escuchar a @AlfonsoAlonsoPP hablar de las victimas del terrorismo... el sabe lo q es luchar x la libertad|0
209|"Alfonso Alonso reprocha a antigüedad que no haya condenado a ETA desde la tribuna del parlamento. ""Debemos ser especialmente exigentes""."|0
210|Cuenta atrás para la era Zapatero. En unos minutos, ex presidente|0
211|Corrillos de diputados en #investidura. Rubalcaba y Zapatero hablan en el escaño del Presidente, que hoy se despide de la vida parlamentaria|0
212|"Amaiur justifica la abstención ""no participamos en la elección de un Presidente Español"" #investidurarajoy"|0
213|Pasa de push a pull, otro paradigma @evocaimagen @pepecerezo @gonzalomartin @mkdirecto Primera oleada 2.0 ha fracasado http://t.co/hMfyvd1a|0
214|vergonzoso, littleboy?“@Suanzes: @PilarGGranja Lo que sorprende no es que quieran serlo. Lo que sorprende es que lo digas en voz alta...”|0
215|@Fgarea podemos crear el hashtag #marianonomellama para todos aquellos que esperan... y desesperan|0
216|¿Qué hace falta para pedir una ficha bancaria? Yo también quiero comprar deuda al 4% con un prestamo del BCE al 1% a devolver en tres años.|0
217|@anai_martin @Semanaldigital Gara, fiel a su línea editorial: quienes están en la cárcel, a la calle siempre que sean d ETA. D traca!|0
218|@mgilguerrero ¿Y cuánto tiempo tardará algún ministrable en cerrar su cuenta de Twitter cuando ya sea ministro?|0
219|¿Conoce la doctrina del TC sobre libertad de expresión? Posada busca evitar fotos como la del móvil de Rubalcaba http://t.co/nG29JlK6|0
220|Con Rajoy vuelve aquello de que el que se mueva en la foto no sale|0
221|En la web de Moncloa no hay ni musiquilla ...|0
222|Ana Botella alcaldesa? de momento es TT....|0
223|Una anécdota del nuevo ministro de Exteriores: cuando enfadó a El Alcazar desde el despacho de Pilar Primo de Rivera http://t.co/v2t8g2ol|0
224|"¿Habrá mañana ""momento Clos"" (ese desastroso ministro de Industria que prometió el cargo como ministro de Justicia)?"|0
225|#GobiernoRajoy lo de sobradamente preparados es una ironía por la portada de @elmundoes. Cuanto peloteo de Pedro J. para hacerse perdonar|0
226|Estepona lleva a los juzgados irregularidades detectadas en las subvenciones  http://t.co/mwNF5ttj|0
227|Algunos hablan de que ha desaparecido Cooperación Internacional...pero qué BOE han leído? SECRETARÍA DE ESTADO DE AAEE y COOPERACIÓN.|0
228|Jose Ignacio Wert ,desde hoy Ministro de educación, ha sido un articulista beligerante en la defensa del sistema electoral bipartidista.|0
229|ays este Andrea!!! Andrea Casiraghi, sin carnet de conducir por correr demasiado http://t.co/asJeyFpc|0
230|Queremos que el Parlament repruebe al Conseller Mas-Colell por pisotear derechos laborales de trabajadores públicos http://t.co/0oHdLaF2|0
231|“@El_Plural: El PP usa el rodillo para volver a “exiliar” a Azaña y aparta su busto 24 días después de su inauguración http://t.co/Qw8sGZbJ”|0
232|“Vivimos en 1mundo donde nos escondemos para hacer el amor,pero la violencia C practica a plena luz dL día#FelizdiadelOrgasmoGlobalPorlaPaz|0
233|Malas noticias: ADN cierra. Un abrazo para los compañeros de la redacción y mucha suerte.|0
234|EEUU invadió Iraq en busca de inexistentes armas de destrucción masiva y ahora sabemos que el arma de destrucción era el  ejército de EEUU.|0
235|"Rajoy ""no se fía"" y cree que Bildu no tiene que estar en instituciones si existe ETA http://t.co/QwO5tNeq vía @europapress_es"|0
236|Comienza la presión. Activistas antiaborto se manifiestan a la puerta de La Moncloa el día del primer consejo de @marianorajoy y @Sorayapp|0
237|Ahora Mas admite modular el REPAGO  con progresividad: Una medida injusta y REACCIONARIA no admite modulación.|0
238|Dada la aversión a las ruedas de prensa de Rajoy, Santamaría va a tener gran presencia para fijar la posición del Gobierno|0
239|Qué rule!@ConchaCLC:Haciéndome un esquema para saber quién está dónde en el #PSOE,entre tanto manifiesto,carta y respuesta.Ya me heperdido.|0
240|Oooooops! Sorry, García-Legaz, secretario de Estado de Comercio (no Turismo)|0
241|Veo que no se abre el link de la noticia del Ayto de BCN. Vuelvo. http://t.co/H4yZQfq8|0
242|“@Maropopins5:jajaja creo que es peor este que vi yo  http://t.co/RnUhVGyb” Otro incunable ;)|0
243|En las casas sin chimenea Papá Noel entra por el microondas. No lo tiene fácil, no.|0
